table,variable,dtype,rows,missing,missing_pct,unique,zeros,negative,infinite,minimum,p01,median,p99,maximum,skew,iqr_outliers
county_features,bachelors,float64,51533,0,0.0,17002,9.0,0.0,0.0,0.0,96.0,2064.0,196229.32000000012,1590181.0,13.000510990051833,7747.0
county_features,bachelors_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,bachelors_moe,float64,51533,0,0.0,10730,0.0,0.0,0.0,3.0,34.0,280.2427519134081,3075.040000000001,11376.0,4.070797131533377,5064.0
county_features,bachelors_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,masters,float64,51533,0,0.0,11952,23.0,0.0,0.0,0.0,20.0,781.0,90916.60000000006,608104.0,10.64079910860219,7645.0
county_features,masters_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,masters_moe,float64,51533,0,0.0,9141,0.0,0.0,0.0,2.0,14.0,175.0,2227.040000000001,7225.0,4.227105460957122,5266.0
county_features,masters_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,professional_degree,float64,51533,0,0.0,6458,1068.0,0.0,0.0,0.0,0.0,154.0,24111.4,185424.0,12.771873852909273,7560.0
county_features,professional_degree_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,professional_degree_moe,float64,51533,0,0.0,6505,0.0,0.0,0.0,1.0,5.0,79.0,1157.6800000000003,3811.0,4.641673310346509,5328.0
county_features,professional_degree_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,doctorate,float64,51533,0,0.0,5580,2366.0,0.0,0.0,0.0,0.0,97.0,14356.920000000006,107457.0,11.322102452602822,7712.0
county_features,doctorate_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,doctorate_moe,float64,51533,0,0.0,5696,0.0,0.0,0.0,1.0,4.0,68.0,927.0,2891.0,4.2828484323582545,5029.0
county_features,doctorate_moe_flag,str,51533,0,0.0,2,,,,,,,,,,
county_features,civilian_labor_force_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,unemployed_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,population_25_plus_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,bachelors_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,masters_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,professional_degree_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,doctorate_reconstructed,bool,51533,0,0.0,2,,,,,,,,,,
county_features,poverty_pct,float64,51533,1,0.0019405041429763454,51305,7.0,0.0,0.0,0.0,4.814342512585942,14.824552258392522,50.601628304165494,67.07371225577265,2.0050079901093523,2178.0
county_features,unemployment_pct,float64,51533,1,0.0019405041429763454,50390,208.0,0.0,0.0,0.0,0.7232925398940089,6.152691778775357,21.36235803280454,40.89319771137953,1.7409043540627867,1825.0
county_features,vacancy_pct,float64,51533,0,0.0,51148,0.0,0.0,0.0,1.6839677047289503,4.291818407148784,15.370154528706244,55.26638927809127,88.25910931174089,1.6700813368965621,2342.0
county_features,homeownership_pct,float64,51533,0,0.0,50746,11.0,0.0,0.0,0.0,45.89539355028927,73.48532560775917,86.73361633311322,97.38527214514407,-1.340124184655602,1587.0
county_features,bachelors_plus_pct,float64,51533,0,0.0,51176,7.0,0.0,0.0,0.0,8.089039199991333,18.993338267949667,53.23339426524361,80.53254437869822,1.4471369250398258,2338.0
county_geography_vintages,county_fips,string,51533,0,0.0,3234,,,,,,,,,,
county_geography_vintages,year,int64,51533,0,0.0,16,0.0,0.0,0.0,2009.0,2009.0,2017.0,2024.0,2024.0,-7.534956928009977e-05,0.0
county_geography_vintages,in_scope_us,bool,51533,0,0.0,2,,,,,,,,,,
county_year_panel,county_fips,str,49717,0,0.0,3109,,,,,,,,,,
county_year_panel,year,int64,49717,0,0.0,16,0.0,0.0,0.0,2009.0,2009.0,2016.0,2024.0,2024.0,0.0001552936402907493,0.0
county_year_panel,period_start,int64,49717,0,0.0,16,0.0,0.0,0.0,2005.0,2005.0,2012.0,2020.0,2020.0,0.0001552936402907493,0.0
county_year_panel,period_end,int64,49717,0,0.0,16,0.0,0.0,0.0,2009.0,2009.0,2016.0,2024.0,2024.0,0.0001552936402907493,0.0
county_year_panel,in_scope_us,bool,49717,0,0.0,1,,,,,,,,,,
county_year_panel,population,float64,49717,0,0.0,38193,0.0,0.0,0.0,33.0,938.1600000000001,25899.0,1272494.759999999,10105722.0,13.488676605539077,6726.0
county_year_panel,population_flag,str,49717,0,0.0,1,,,,,,,,,,
county_year_panel,population_moe,float64,49717,44914,90.33932055433755,235,2994.0,0.0,0.0,0.0,0.0,0.0,257.97999999999956,1564.0,4.039840369061265,45.0
county_year_panel,population_moe_flag,str,49717,0,0.0,2,,,,,,,,,,
county_year_panel,median_age,float64,49717,0,0.0,416,0.0,0.0,0.0,21.4,27.8,40.9,54.9,86.2,0.12214722691087804,1587.0
county_year_panel,median_age_flag,str,49717,0,0.0,1,,,,,,,,,,
