county_fips,incidentId,declaration_count,declaration_numbers
48503,2020030901,2,"3458, 4485"
48503,2021021302,2,"3554, 4586"
48505,2020030901,2,"3458, 4485"
48505,2021021302,2,"3554, 4586"
48507,2020030901,2,"3458, 4485"
48507,2021021302,2,"3554, 4586"
48507,2026071703,2,"3649, 4935"
49001,2020030901,2,"3478, 4525"
49003,2020030901,2,"3478, 4525"
49005,2020030901,2,"3478, 4525"
49007,2020030901,2,"3478, 4525"
49009,2020030901,2,"3478, 4525"
49011,2020030901,2,"3478, 4525"
49013,2020030901,2,"3478, 4525"
49015,2020030901,2,"3478, 4525"
49017,2020030901,2,"3478, 4525"
49019,2020030901,2,"3478, 4525"
49021,2020030901,2,"3478, 4525"
49023,2020030901,4,"3443, 3478, 4523, 4525"
49025,2020030901,2,"3478, 4525"
49027,2020030901,2,"3478, 4525"
49029,2020030901,2,"3478, 4525"
49031,2020030901,2,"3478, 4525"
49033,2020030901,2,"3478, 4525"
49035,2020030901,2,"3478, 4525"
49037,2010012101,2,"1888, 3307"
49037,2020030901,9,"3436, 3442, 3460, 3478, 4498, 4524, 4525, 4529, 4582"
49039,2020030901,2,"3478, 4525"
49041,2020030901,2,"3478, 4525"
49043,2020030901,2,"3478, 4525"
49045,2020030901,4,"3443, 3478, 4523, 4525"
49047,2020030901,2,"3478, 4525"
49049,2020030901,2,"3478, 4525"
49051,2020030901,2,"3478, 4525"
49053,2020030901,2,"3478, 4525"
49055,2020030901,2,"3478, 4525"
49057,2020030901,2,"3478, 4525"
50001,2020030901,2,"3437, 4532"
50001,2023071001,2,"3595, 4720"
50003,2020030901,2,"3437, 4532"
50003,2023071001,2,"3595, 4720"
50005,2020030901,2,"3437, 4532"
50005,2023071001,2,"3595, 4720"
50007,2020030901,2,"3437, 4532"
50007,2023071001,2,"3595, 4720"
50009,2020030901,2,"3437, 4532"
50009,2023071001,2,"3595, 4720"
50011,2020030901,2,"3437, 4532"
50011,2023071001,2,"3595, 4720"
50013,2020030901,2,"3437, 4532"
50013,2023071001,2,"3595, 4720"
50015,2020030901,2,"3437, 4532"
50015,2023071001,2,"3595, 4720"
50017,2020030901,2,"3437, 4532"
50017,2023071001,2,"3595, 4720"
50019,2020030901,2,"3437, 4532"
50019,2023071001,2,"3595, 4720"
50021,2020030901,2,"3437, 4532"
50021,2023071001,2,"3595, 4720"
50023,2020030901,2,"3437, 4532"
50023,2023071001,2,"3595, 4720"
50025,2020030901,2,"3437, 4532"
50025,2023071001,2,"3595, 4720"
50027,2020030901,2,"3437, 4532"
50027,2023071001,2,"3595, 4720"
51001,2011082201,2,"3329, 4024"
51001,2012102505,2,"3359, 4092"
51001,2020030901,2,"3448, 4512"
51003,2020030901,2,"3448, 4512"
51005,2020030901,2,"3448, 4512"
51007,2020030901,2,"3448, 4512"
51009,2020030901,2,"3448, 4512"
51011,2020030901,2,"3448, 4512"
51013,2012102505,2,"3359, 4092"
51013,2020030901,2,"3448, 4512"
51015,2020030901,2,"3448, 4512"
51017,2020030901,2,"3448, 4512"
51019,2020030901,2,"3448, 4512"
51019,2024092301,2,"3621, 4831"
51021,2020030901,2,"3448, 4512"
51021,2024092301,2,"3621, 4831"
51023,2018090602,2,"3403, 4401"
